Capture Date,ID,d15N,d13C,Morph,Species,Zone,Sex,Carapace length (mm),Carapace width (mm),Height (mm),Plastron (mm),3rd foreclaw length (mm),Mass (g),Annuli,Notes,Carapace length (cm),Carapace width (cm),Height (cm),Plastron length (cm)
7/4/2019,CNX,,,-,C. picta,11,F,89.4,74.3,34.1,83.0,5.1,80,,Recap from this year,,,,
5/31/2019,COV,,,x,C. picta,11,M,93.8,73.0,34.5,90.1,122.0,115,Non-observable,,9.38,7.3,3.45,9.01
5/31/2019,COW,,,x,C. picta,11,M,92.8,72.6,33.6,84.4,9.8,95,7,,9.28,7.26,3.36,8.44
5/31/2019,COX,,,x,C. picta,11,F,104.2,81.6,38.5,96.2,6.0,145,8,,10.42,8.16,3.85,9.62
5/31/2019,CPV,,,x,C. picta,11,M,97.2,76.3,33.6,88.3,10.6,115,6,,9.72,7.63,3.36,8.83
5/31/2019,CPW,,,x,C. picta,11,F,92.7,71.3,36.4,86.7,6.5,105,6,,9.27,7.13,3.64,8.67
5/31/2019,CPX,,,x,C. picta,11,F,91.9,77.7,34.5,87.3,5.9,115,5,,9.19,7.77,3.45,8.73
5/31/2019,CQV,,,x,C. picta,11,F,101.1,83.7,40.3,94.4,6.1,155,8,,10.11,8.37,4.03,9.44
5/31/2019,CQW,,,x,C. picta,11,M,83.4,66.8,30.8,77.9,6.6,80,Non-observable,,8.34,6.68,3.08,7.79
5/31/2019,CQX,,,x,C. picta,11,M,99.8,79.5,35.9,93.0,11.6,125,Non-observable,,9.98,7.95,3.59,9.3
6/6/2019,CQX,,,-,C. picta,11,-,-,-,-,-,-,-,-,Recapture from 5/31/2019,,,,
6/7/2019,CQX,,,-,C. picta,11,M,-,-,-,-,-,-,,Recap from 5/31/19,,,,
5/31/2019,CVW,,,x,C. picta,11,M,116.9,86.5,37.2,104.7,13.7,180,Non-observable,,11.69,8.65,3.72,10.47
5/31/2019,CVX,,,x,C. picta,11,F,119.7,89.9,49.5,111.8,6.5,245,Non-observable,,11.97,8.99,4.95,11.18
5/31/2019,CWX,,,x,C. picta,11,F,142.2,108.0,53.4,135.7,7.8,410,Non-observable,Gravid,14.22,10.8,5.34,13.57
5/31/2019,H,,,x,C. picta,11,M,110.4,84.7,41.3,103.5,13.2,180,Non-observable,Past mark?,11.04,8.47,4.13,10.35
5/28/2019,HI,,,x,C. picta,6,M,110.2,79.0,40.4,101.2,10.6,175,Non-observable,"Triangular shape missing from carapace, missing I+H scute",11.02,7.9,4.04,10.12
5/31/2019,HIJ,,,x,C. picta,11,F,125.4,91.9,50.4,117.0,6.7,260,Non-observable,,12.54,9.19,5.04,11.7
5/31/2019,HIK,,,x,C. picta,11,M,96.5,78.5,35.5,88.6,12.4,115,8,,9.65,7.85,3.55,8.86
5/31/2019,HIL,,,x,C. picta,11,M,93.8,74.2,35.1,86.6,11.9,105,Non-observable,,9.38,7.42,3.51,8.66
5/31/2019,HIM,,,x,C. picta,11,M,86.2,69.6,30.9,77.6,6.3,80,Non-observable,Extra scutes,8.62,6.96,3.09,7.76
6/2/2019,HIQ,,,x,C. picta,8,F,108.0,85.2,41.1,98.7,5.6,185,Non-observable,,,,,
6/7/2019,HIQ,,,-,C. picta,8,F,-,-,-,-,-,-,,Recap from 6/2/19,,,,
6/14/2019,HIQ,,,-,C. picta,8,F,-,-,-,-,-,-,-,Recap from 6/7/19,,,,
6/7/2019,HIQW,,,x,C. picta,7,M,102.0,81.0,37.2,93.8,12.0,115,,,,,,
6/2/2019,HIW,,,x,C. picta,11,M,103.9,81.6,36.4,95.9,11.5,145,Non-observable,Caught while chasing BKNQ around,,,,
6/2/2019,HJM,,,x,C. picta,11,F,90.4,76.2,34.3,84.7,5.1,100,6,,,,,
6/3/2019,HJQ,,,x,C. picta,7,F,133.2,95.8,47.1,120.6,6.8,289,Non-observable,Gravid,,,,
6/17/2019,HJQ,,,-,C. picta,8,M ,-,-,-,-,-,-,-,recap from 6/3/19,,,,
6/3/2019,HJW,,,x,C. picta,7,M,120.0,92.1,43.3,112.7,12.6,196,Non-observable,,,,,
6/3/2019,HKM,,,x,C. picta,7,M,99.7,78.6,34.6,90.9,11.3,110,Non-observable,,,,,
6/3/2019,HKQ,,,x,C. picta,7,M,102.5,81.9,39.2,94.4,12.9,135,Non-observable,"Missing ""L"" scute; marked rearmost right side scute as ""K""",,,,
6/3/2019,HKW,,,x,C. picta,7,M,96.1,76.1,36.5,89.0,10.5,109,7,,,,,
6/3/2019,HLQ,,,x,C. picta,11,M,90.8,74.9,34.4,85.5,10.4,96,Non-observable,,,,,
6/5/2019,HLQ,,,-,C. picta,8,-,-,-,-,-,-,-,-,Recapture from 6/3/2019,,,,
6/4/2019,HLW,,,x,C. picta,10,F,117.9,86.5,45.4,111.2,6.6,224,Non-observable,,,,,
6/4/2019,HMN,,,x,C. picta,11,M,117.4,85.6,42.9,105.9,10.8,184,Non-observable,,,,,
6/3/2019,HMP,,,x,C. picta,7,M,116.7,87.5,39.6,105.2,12.3,183,Non-observable,,,,,
6/7/2019,HMP,,,-,C. picta,11,M,-,-,-,-,-,-,,Recap from 6/3/19,,,,
6/4/2019,HMQ,,,x,C. picta,11,M,89.6,72.4,33.9,83.8,10.5,85,Non-observable,,,,,
6/4/2019,HMV,,,x,C. picta,11,M,85.9,71.3,32.9,77.3,9.8,70,6,,,,,
6/4/2019,HMW,,,,C. picta,11,I,71.2,62.0,28.4,64.6,4.5,33,4,,,,,
6/4/2019,HMX,,,,C. picta,6,F,103.9,82.4,40.8,96.2,6.0,135,Non-observable,"Missing ""M"" scute",,,,
6/5/2019,HNQ,,,x,C. picta,1,F,135.9,101.4,49.7,126.9,6.5,345,Non-observable,"Gravid, on road",,,,
6/5/2019,HNV,,,x,C. picta,7,M,121.1,89.1,42.5,108.0,12.4,195,Non-observable,,,,,
6/6/2019,HOQ,,,x,C. picta,1,M,108.6,81.8,37.2,97.7,13.2,125,Non-observable,,,,,
6/6/2019,HOQ,,,x,C. picta,7,F,87.4,69.4,33.3,81.3,4.9,95,4,Accidental repeat marking: different sex from other HOQ,,,,
6/6/2019,HOW,,,x,C. picta,11,F,135.2,97.0,52.7,127.4,7.7,339,4,,,,,
6/6/2019,HPQ,,,x,C. picta,11,M,111.2,86.1,40.7,104.0,10.5,163,Non-observable,Fecal sample used for isotope analysis,,,,
6/6/2019,HPW,,,x,C. picta,11,M,89.9,70.9,32.0,80.3,7.4,86,6,,,,,
6/6/2019,HQV,,,x,C. picta,11,M,92.2,73.1,31.8,83.5,9.0,85,5,,,,,
6/6/2019,HQW,,,x,C. picta,11,I,73.0,58.8,27.7,64.4,4.4,37,4,,,,,
6/6/2019,HQX,,,x,C. picta,11,M,101.7,77.0,37.1,91.8,10.3,115,Non-observable,,,,,
6/6/2019,HVW,,,x,C. picta,11,I,69.8,58.7,26.0,61.3,4.3,25,2,,,,,
6/7/2019,HVW,,,-,C. picta,11,I,-,-,-,-,-,-,,Recap from 6/6/19,,,,
6/1/2018,I,,,x,C. picta,3,M,103.7,80.1,39.7,94.7,12.7,130,Non-observable,Possible past mark,10.37,8.01,3.97,9.47
6/25/2018,I,,,,C. picta,8,F,134.0,97.2,48.0,122.1,5.6,245,Non-observable,Single large chip on I scute,13.4,9.72,4.8,12.21
6/6/2019,IJM,,,x,C. picta,11,M,99.1,75.1,35.5,87.1,10.2,105,Non-observable,,,,,
6/6/2019,ILM,,,x,C. picta,8,M,129.9,90.2,45.3,115.0,9.7,265,,,,,,
6/6/2019,ILQ,,,x,C. picta,11,F,95.9,76.8,35.7,88.8,4.9,130,,,,,,
6/7/2019,IM,,,x,C. picta,11,M,97.0,77.0,35.2,88.0,10.4,120,,,,,,
6/6/2019,IMN,,,x,C. picta,11,M,101.5,80.7,36.7,95.8,12.8,140,,Weird plastorn wound - porous bone visible,,,,
6/7/2019,IMN,,,-,C. picta,11,M,-,-,-,-,-,-,,Recap from 6/6/19,,,,
6/6/2019,IMO,,,x,C. picta,11,F,112.7,85.0,41.4,102.5,5.5,185,,,,,,
6/6/2019,IMP,,,x,C. picta,11,M,92.5,74.8,35.9,86.9,11.2,115,,,,,,
6/6/2019,IMPQ,,,x,C. picta,11,F,83.9,73.1,32.2,77.2,5.3,95,4,,,,,
6/6/2019,IMV,,,x,C. picta,11,I,71.2,63.5,29.6,63.9,4.7,55,3,,,,,
6/6/2019,IMVW,,,x,C. picta,11,F,140.3,109.2,51.6,130.1,8.1,350,,"Gravid, fecal sample (and blood) used for isotope analysis",,,,
6/7/2019,IMVW,,,-,C. picta,11,F,-,-,-,-,-,-,,Recap from 6/6/19,,,,
6/14/2019,IMVW,,,-,C. picta,11,F,-,-,-,-,-,-,-,Recap from 6/7/19,,,,
6/6/2019,IMW,,,x,C. picta,11,M,69.9,61.3,28.4,61.9,5.2,55,5,,,,,
6/6/2019,IMX,,,x,C. picta,11,F,118.9,90.3,45.6,113.0,7.5,260,,,,,,
6/6/2019,INQ,,,x,C. picta,11,M,107.0,83.9,39.6,96.8,12.6,170,,,,,,
6/6/2019,INW,,,x,C. picta,11,F,90.0,74.9,34.8,83.5,6.3,110,,,,,,
6/6/2019,IOP,,,x,C. picta,11,F,126.6,98.5,45.2,114.2,6.7,275,,,,,,
6/6/2019,IPQ,,,x,C. picta,11,F,78.3,67.2,31.7,72.7,5.0,75,3,,,,,
6/7/2019,IPQ,,,-,C. picta,11,I,-,-,-,-,-,-,,Recap from 6/6/19,,,,
6/7/2019,IPW,,,x,C. picta,7,M,112.5,84.7,40.1,101.1,10.9,153,,,,,,
6/7/2019,IQ,,,,C. picta,11,F,124.3,93.0,46.1,111.2,6.6,285,9,,,,,
6/7/2019,IQV,,,x,C. picta,7,M,111.9,85.4,37.4,97.4,11.5,145,,,,,,
6/7/2019,IQW,,,x,C. picta,11,F,118.8,90.9,44.9,111.3,5.3,225,,,,,,
6/7/2019,IQX,,,x,C. picta,11,M,87.7,69.3,32.4,80.2,10.8,74,,,,,,
6/7/2019,IVW,,,x,C. picta,11,F,82.6,72.4,30.7,76.2,4.8,67,4,,,,,
6/7/2019,IVX,,,x,C. picta,11,M,96.7,75.9,35.7,88.0,11.2,107,5,,,,,
6/7/2019,IW,,,,C. picta,1,M,89.4,71.3,32.0,82.9,6.2,82,5,,,,,
6/7/2019,IWX,,,x,C. picta,11,M,103.6,77.4,35.0,92.7,10.3,127,,,,,,
6/7/2019,JKM,,,x,C. picta,11,F,91.7,76.1,36.6,86.7,5.3,110,5,,,,,
6/18/2019,JKW,,,x,C. picta,5,I,74.8,64.4,29.5,67.5,5.6,44,4,,,,,
6/18/2019,JLM,,,x,C. picta,8,M,118.3,89.9,43.3,110.8,13.6,209,Non-observable,,,,,
6/18/2019,JLQ,,,x,C. picta,8,M,105.8,82.6,38.9,97.5,11.1,145,Non-observable,,,,,
6/18/2019,JLW,,,x,C. picta,8,M,104.0,76.9,34.9,92.3,9.4,109,Non-observable,,,,,
6/7/2019,JM,,,x,C. picta,11,I,68.6,64.1,29.0,62.6,4.6,38,2,,,,,
6/7/2019,JM,,,,C. picta,11,M,107.8,85.7,38.4,96.8,11.1,170,,"Listed as JW, but with different measurements from previous JW. JM/JW mixed up?",,,,
6/18/2019,JMN,,,x,C. picta,8,M,110.9,87.9,39.4,100.4,13.4,182,Non-observable,,,,,
6/18/2019,JMO,,,x,C. picta,8,F,117.3,89.4,45.7,109.1,6.3,208,Non-observable,L scute doubled,,,,
6/18/2019,JMP,,,x,C. picta,8,F,86.2,68.2,33.8,78.4,5.3,75,Non-observable,Missing right front arm,,,,
6/18/2019,JMQ,,,x,C. picta,8,M,106.6,81.9,37.6,96.8,10.7,146.0,Non-observable,Missing right hind foot,,,,
6/18/2019,JMV,,,x,C. picta,8,F,86.3,70.6,33.6,78.5,5.2,77,5,,,,,
6/19/2019,JMW,,,x,C. picta,5,M,104.6,86.1,34.1,97.0,10.4,130,Non-observable ,,,,,
6/19/2019,JMX,,,x,C. picta,5,M,96.9,80.3,35.7,91.6,10.3,106,Non-observable ,,,,,
5/31/2018,JN,,,x,C. picta,12,M,112.6,87.4,41.5,102.3,13.1,170,Non-observable,Trapped. Marked in 1965.,11.26,8.74,4.15,10.23
6/7/2019,JNQ,,,x,C. picta,7,F,134.2,100.5,46.2,129.1,6.5,300,,,,,,
6/7/2019,JOQ,,,x,C. picta,8,I,78.9,65.1,29.8,70.7,5.1,70,3,,,,,
6/7/2019,JOW,,,x,C. picta,11,F,136.4,96.5,47.3,122.2,65.0,335,,,,,,
6/7/2019,JPQ,,,x,C. picta,11,M,97.4,77.6,34.3,89.1,9.1,135,,,,,,
6/7/2019,JPW,,,x,C. picta,11,I,88.9,76.5,33.8,79.3,5.1,105,4,,,,,
6/7/2019,JQ,,,,C. picta,11,F,125.6,96.0,46.4,118.1,6.5,290,,,,,,
6/7/2019,JVW,,,,C. picta,11,M,101.4,76.6,35.8,91.8,9.6,140,,,,,,
6/7/2019,JW,,,x,C. picta,11,I,68.4,56.0,28.5,61.6,3.9,50,2,,,,,
6/7/2019,JW,,,-,C. picta,11,I,-,-,-,-,-,-,,Recap from same day,,,,
6/7/2019,JWX,,,x,C. picta,11,F,93.4,75.1,36.1,84.8,5.0,120,6,,,,,
6/7/2019,KLM,,,,C. picta,11,F,130.4,96.0,44.5,119.7,5.4,300,,,,,,
6/14/2019,KLQ,,,x,C. picta,11,F,112.0,82.0,45.6,104.1,6.3,184,Non-observable,,,,,
6/14/2019,KLW,,,x,C. picta,10,M,109.2,85.3,40.7,97.3,13.1,160,Non-observable,,,,,
6/17/2019,KMN,,,x,C. picta,8,F,87.2,72.3,36.2,79.9,6.2,89,Non-observed ,,,,,
6/14/2019,KMQ,,,x,C. picta,5,M,106.6,83.8,36.2,97.2,12.8,145,Non-observable,,,,,
6/18/2019,KMV,,,x,C. picta,5,M,102.3,85.2,34.1,93.1,12.6,135,Non-observable,Bit Al,,,,
6/18/2019,KMW,,,x,C. picta,5,M,91.5,74.2,32.9,81.7,11.6,83,Non-observable,,,,,
6/19/2019,KMX,,,x,C. picta,5,M ,96.4,75.5,34.6,86.7,12.4,102,Non-observable ,,,,,
6/26/2019,KNQ,,,x,C. picta,8,F,96.9,78.6,36.4,87.3,5.8,112,6,,,,,
6/26/2019,KNW,,,x,C. picta,8,M,97.5,76.3,36.4,88.1,12.1,109,Non-observable ,,,,,
6/26/2019,KOQ,,,x,C. picta,8,M,108.3,83.8,36.7,97.3,10.5,138,Non-observable ,,,,,
6/26/2019,KPQ,,,x,C. picta,1,I,70.6,65.2,28.6,62.7,5.5,36,2,,,,,
7/2/2019,KPW,,,x,C. picta,3,M,113.5,87.8,37.4,102.8,11.7,154,,,,,,
7/2/2019,KQV,,,x,C. picta,3,M,83.8,70.0,31.6,76.9,5.7,63,,,,,,
7/3/2019,KQV,,,-,C. picta,3,M,-,-,-,-,-,-,-,Recapture from 7/2/2019,,,,
7/2/2019,KQW,,,x,C. picta,8,M,103.3,83.2,38.4,92.0,12.9,137,,,,,,
7/2/2019,KQX,,,x,C. picta,11,M,79.5,68.8,32.7,73.9,5.4,62,4,,,,,
7/2/2019,KVW,,,x,C. picta,4,F,86.3,74.6,34.7,80.3,5.4,81,4,,,,,
7/3/2019,KWX,,,x,C. picta,3,M,96.1,76.3,34.9,84.8,10.6,99,,,,,,
7/3/2019,LMN,,,x,C. picta,11,F,110.3,84.8,42.2,101.4,5.7,178,7,,,,,
7/3/2019,LMP,,,x,C. picta,11,F,82.4,71.4,33.2,76.2,5.5,72,5,,,,,
7/3/2019,LMQ,,,x,C. picta,11,F,89.5,78.5,34.1,84.1,5.6,93,,,,,,
7/3/2019,LMV,,,x,C. picta,11,M,101.9,78.7,38.8,95.3,10.4,130,,,,,,
7/3/2019,LMW,,,x,C. picta,11,M,92.3,76.6,34.7,87.7,10.8,105,,,,,,
7/4/2019,LMX,,,x,C. picta,1,M,93.6,72.5,32.8,86.4,10.9,90,,,,,,
7/4/2019,LNQ,,,x,C. picta,11,M,101.9,82.2,38.7,92.9,10.6,118,,Weird existing notch on N scute,,,,
7/4/2019,LNW,,,x,C. picta,11,F,117.1,92.7,46.0,106.2,6.2,216,,,,,,
7/4/2019,LOQ,,,x,C. picta,11,M,110.0,81.6,36.0,96.9,14.0,147,,,,,,
7/4/2019,LOW,,,x,C. picta,11,F,104.3,80.5,39.5,97.5,5.6,140,,,,,,
7/4/2019,LPW,,,x,C. picta,7,F,136.1,99.0,47.3,127.9,7.4,260,,,,,,
5/31/2018,O,,,x,C. picta,6,M,111.0,84.0,42.0,100.0,14.0,150,Non-observable,"Trapped, previous mark? Unsure",11.1,8.4,4.2,10
5/25/2018,U1,,,,C. picta,1,I,50.5,49.0,21.4,43.6,3.5,10,2,Yearling,5.05,4.9,2.14,4.36
5/30/2019,U10,,,x,C. picta,11,I,72.2,60.6,28.8,66.7,4.4,60,4,,7.22,6.06,2.88,6.67
5/30/2019,U11,,,x,C. picta,11,I,75.5,66.7,30.3,68.8,5.7,70,4,,7.55,6.67,3.03,6.88
6/2/2019,U12,,,x,C. picta,13,I,66.7,59.4,26.6,61.4,4.6,47,3,,,,,
6/2/2019,U13,,,x,C. picta,3,I,55.0,50.4,22.4,48.0,3.9,13,2,,,,,
6/4/2019,U14,,,x,C. picta,1,I,62.8,57.6,25.2,57.7,2.6,20,2,,,,,
6/5/2019,U15,,,x,C. picta,1,I,63.1,57.4,24.4,57.6,4.1,15,2,,,,,
6/6/2019,U16,,,x,C. picta,8,I,50.9,47.2,20.4,45.2,2.2,<5,1,tiny tiny tiny,,,,
6/6/2019,U17,,,x,C. picta,11,I,61.3,53.8,25.7,54.5,3.9,35,2,,,,,
6/6/2019,U18,,,x,C. picta,11,I,70.3,59.4,28.3,61.2,4.6,50,3,,,,,
6/14/2019,U19,,,x,C. picta,11,I,68.9,61.6,29.5,62.1,4.4,37,2,,,,,
5/29/2018,U2,,,,C. picta,10,I,58.2,56.0,24.7,53.0,3.8,30,1,Yearling,5.82,5.6,2.47,5.3
6/19/2019,U20,,,x,C. picta,3,I,64.8,58.5,26.2,58.2,4.2,26,2,,,,,
7/4/2019,U21,,,x,C. picta,11,I,62.9,57.5,24.6,56.1,3.4,15,2,,,,,
5/30/2018,U3,,,,C. picta,10,I,64.4,55.6,25.7,57.0,4.3,35,4,"Trapped, subadult",6.44,5.56,2.57,5.7
6/1/2018,U4,,,x,C. picta,6,F,60.3,58.0,26.2,56.6,5.0,25,2,Too small to mark,6.03,5.8,2.62,5.66
6/18/2018,U5,,,,C. picta,4,I,52.0,47.3,21.9,46.3,3.6,Non-observable,1,Yearling,5.2,4.73,2.19,4.63
6/26/2018,U6,,,,C. picta,4,I,59.2,51.2,24.1,52.5,3.6,0,1,,5.92,5.12,2.41,5.25
5/30/2019,U8,,,x,C. picta,10,I,55.0,51.4,22.6,47.9,3.2,25,2,,5.5,5.14,2.26,4.79
5/30/2019,U9,,,x,C. picta,11,I,69.4,61.0,28.9,61.7,5.4,55,6,,6.94,6.1,2.89,6.17
6/26/2019,YCKM,,,x,C. picta,road,F,140.2,101.9,51.2,128.2,8.2,360,Non-observable ,First captured (as an adult) 1983,,,,
7/3/2019,YJK,,,x,C. picta,11,M,94.4,73.8,35.7,87.8,10.8,101,,Injury on scutes J/K,,,,
6/4/2019,ZIMV,,,x,C. picta,7,M,126.3,93.8,43.8,111.9,13.0,216,Non-observable,Recap from 1984,,,,
5/23/2018,,,,,C. picta,,F,97.5,78.6,38.4,90.6,6.4,140,6,Trapped,9.75,7.86,3.84,9.06
5/23/2018,,,,,C. picta,10,F,82.1,66.2,32.3,75.7,4.6,80,5,Missing right foreleg,8.21,6.62,3.23,7.57
5/23/2018,,,,,C. picta,10,M,100.0,75.3,34.9,91.5,10.9,125,Non-observable,,10,7.53,3.49,9.15
5/23/2018,,,,,C. picta,10,M,100.7,77.9,36.8,92.2,11.6,140,Non-observable,,10.07,7.79,3.68,9.22
5/23/2018,,,,,C. picta,11,M,113.0,84.4,35.8,101.2,12.3,170,Non-observable,,11.3,8.44,3.58,10.12
5/23/2018,,,,,C. picta,10,M,96.1,75.8,34.4,87.6,10.1,130,Non-observable,Trapped,9.61,7.58,3.44,8.76
7/11/2019,CJKL,,,x,C. picta ,8,F,99.4,81.2,38.8,93.7,3.5,136,,,,,,
7/11/2019,LQW,,,x,C. picta ,8,M,109.8,84.3,36.7,98.0,11.7,143,,,,,,
7/11/2019,ZAIW,,,x,C. picta ,8,M,107.6,81.1,37.9,100.2,11.0,149,,Wound on Z+A,,,,
5/31/2018,LM,4.9,-27.9,x,C. serpentina,12,F,240.0,215.0,115.0,205.0,n/a,Non-observable,Non-observable,Trapped,24,21.5,11.5,20.5
6/5/2019,JKNO,,,x,C. serpentina,10,F,206.0,165.0,60.0,156.4,hind plastron over tail: 71.7/52.8,,Non-observable,,,,,
5/30/2018,JL,,,x,C. serpentina,4,F,166.0,144.0,65.0,136.0,n/a,Non-observable,Non-observable,Trapped,16.6,14.4,6.5,13.6
6/7/2019,JLNO,,,x,C. serpentina,12,F,170.0,150.0,84.0,128.0,-,-,,Found in trap after returning to dock,,,,
5/31/2018,JM,,,x,C. serpentina,10,F,125.0,105.0,62.0,99.0,n/a,Non-observable,Non-observable,Trapped,12.5,10.5,6.2,9.9
6/24/2018,KLMN,,,,C. serpentina,7,M,200.0,180.0,100.0,175.2,-,-,Non-observable,,20,18,10,17.52
7/2/2019,KLMN,,,x,C. serpentina,11,F,125.4,130.9,64.5,118.2,-,840,,,,,,
5/31/2018,MN,,,x,C. serpentina,12,M,275.0,245.0,98.0,202.0,n/a,Non-observable,Non-observable,Trapped (somehow),27.5,24.5,9.8,20.2
6/3/2019,MO,,,x,C. serpentina,7,F,174.0,140.0,71.0,140.1,-,-,Non-observable,,,,,
6/4/2019,MOP,,,x,C. serpentina,7,F,154.0,139.0,84.0,149.0,-,-,Non-observable,,,,,
5/30/2018,U1,,,x,C. serpentina,3,F,72.3,65.4,37.2,61.7,n/a,90,Non-observable,Trapped,7.23,6.54,3.72,6.17
5/25/2018,YZAB,6.5,-30.9,,E. blandingii,10,F,-,-,-,-,Non-observable,Non-observable,24,Trapped,Non-observable,Non-observable,Non-observable,Non-observable
6/3/2019,14HLM,,,x,E. blandingii,7,F,174.0,124.9,72.3,170.0,-,-,Non-observable,Recap from 1999,,,,
5/25/2018,3JM,,,,E. blandingii,10,M,-,-,-,-,Non-observable,Non-observable,35,Trapped. Original capture 1988,Non-observable,Non-observable,Non-observable,Non-observable
5/30/2018,4A,,,x,E. blandingii,4,F,182.0,120.0,70.0,172.0,n/a,Non-observable,23,"Trapped. Missing hind left foot, lots of leeches. Marked in ",18.2,12,7,17.2
5/30/2018,AK,,,x,E. blandingii,8,F,170.0,119.0,61.0,172.0,9.0,Non-observable,20,Trapped. Missing most toes on hind feet.,17,11.9,6.1,17.2
5/30/2018,AL,,,x,E. blandingii,8,M,185.0,122.0,71.0,169.0,10.0,Non-observable,21,Trapped,18.5,12.2,7.1,16.9
5/30/2018,AM,,,x,E. blandingii,8,M,158.0,108.0,53.0,151.0,8.0,Non-observable,21,Trapped. Unusually small,15.8,10.8,5.3,15.1
5/28/2019,BJN,,,x,E. blandingii,8,F?,125.8,84.9,52.5,122.0,-,285,10,,12.58,8.49,5.25,12.2
6/3/2019,BJO,,,x,E. blandingii,11,M,183.0,117.9,62.7,164.4,-,-,23,,,,,
6/6/2019,BJP,,,x,E. blandingii,11,I,118.2,81.7,45.0,110.4,-,210,12,,,,,
6/7/2019,BKN,,,x,E. blandingii,7,F,154.5,101.1,58.4,145.2,-,540,16,,,,,
6/7/2019,BKO,,,x,E. blandingii,11,M,118.2,84.4,46.3,112.2,-,220,13,,,,,
6/19/2019,BKP,,,x,E. blandingii,5,F?,161.0,111.9,56.6,154.8,-,565,21,,,,,
5/30/2018,YJMP,,,x,E. blandingii,8,M,174.0,112.0,62.0,162.0,9.0,Non-observable,19,Trapped. Marked in 1983,17.4,11.2,6.2,16.2
6/6/2019,YMNQ,,,x,E. blandingii,11,F,171.0,110.0,63.0,173.0,-,>500,31,"Gravid, Recapture from 1983",,,,
6/24/2018,ZCI,,,,E. blandingii,7,F,175.0,126.2,72.7,194.2,-,Non-observable,Non-observable,First capture 1984,17.5,12.62,7.27,19.42
5/24/2018,BW,6.6,-30.9,,S. odoratus,11,M,95.4,64.6,34.4,66.4,5.1,105,Non-observable,,9.54,6.46,3.44,6.64
6/1/2018,AL,7.7,-32.1,x,S. odoratus,3,M,92.1,64.0,42.1,64.4,5.8,110,Non-observable,Face injury,9.21,6.4,4.21,6.44
5/23/2019,AN ,,,x,S. odoratus,,F,100.3,71.7,42.3,74.9,-,146,7,,10.03,7.17,4.23,7.49
5/23/2019,AU,,,x,S. odoratus,,M,90.4,61.5,35.6,63.4,-,106,Non-observable,,9.04,6.15,3.56,6.34
5/31/2019,AV,,,x,S. odoratus,8,F?,100.4,65.6,38.5,73.7,-,160,Non-observable,Possibly gravid,10.04,6.56,3.85,7.37
6/4/2019,AW,,,x,S. odoratus,8,F,98.8,71.0,43.1,75.3,-,155,Non-observable,Gravid,,,,
6/14/2019,AX,,,x,S. odoratus,8,M,101.6,79.3,41.6,72.1,-,136,Non-observable,,,,,
6/17/2019,BC,,,x,S. odoratus,8,F,103.9,75.9,49.4,81.3,-,194,,Fecal sample used for isotope analysis,,,,
6/18/2019,BI,,,x,S. odoratus,8,M,98.3,66.1,42.2,67.6,-,143,Non-observable,Face wound,,,,
6/17/2019,BM ,,,x,S. odoratus,8,M ,102.7,70.1,41.8,71.3,-,152,,Possible mark on M ,,,,