iso1,iso2,group,community
7.6,-32.1,Turtle,1
5.3,-32.0,Turtle,1
6.1,-31.4,Turtle,1
5.3,-30.5,Turtle,1
8.0,-32.2,Turtle,1
4.8,-29.5,Turtle,1
4.4,-28.8,Turtle,1
5.6,-29.5,Turtle,1
6.3,-27.2,Turtle,1
7.2,-27.7,Turtle,1
3.7,-26.1,Turtle,1
7.3,-30.4,Turtle,1
7.5,-33.5,Turtle,1
6.7,-32.1,Turtle,1
6.0,-30.8,Turtle,1
4.7,-30.4,Turtle,1
6.5,-30.5,Turtle,1
4.1,-34.0,Turtle,1
3.1,-31.8,Turtle,1
5.9,-33.6,Turtle,1
5.2,-32.1,Turtle,1
4.5,-28.7,Turtle,1
3.0,-32.3,Turtle,1
3.7,-33.5,Turtle,1
2.1,-33.1,Turtle,1
3.1,-29.9,Turtle,1
3.9,-31.3,Turtle,1
1.6,-30.6,Turtle,1
5.8,-31.3,Turtle,1
3.5,-28.5,Turtle,1
4.6,-30.6,Turtle,1
6.9,-30.4,Turtle,1
3.7,-25.7,Turtle,1
3.6,-27.5,Turtle,1
3.8,-32.5,Turtle,1
4.6,-31.3,Turtle,1
3.1,-30.8,Turtle,1
7.4,-31.9,Turtle,1
6.3,-32.6,Turtle,1
4.5,-29.9,Turtle,1
4.6,-33.4,Turtle,1
7.8,-32.1,Turtle,1
4.3,-34.6,Turtle,1
2.6,-29.9,Turtle,1
2.4,-35.4,Turtle,1
3.6,-34.7,Turtle,1
4.6,-30.9,Turtle,1
5.2,-32.6,Vertebrate,1
11.6,-28.7,Vertebrate,1
11.3,-27.8,Vertebrate,1
6.2,-34.3,Vertebrate,1
6.6,-34.0,Vertebrate,1
6.8,-33.8,Vertebrate,1
6.3,-34.6,Vertebrate,1
8.9,-31.9,Vertebrate,1
8.9,-32.2,Vertebrate,1
10.4,-31.5,Vertebrate,1
4.4,-28.4,Annelid,1
4.5,-29.3,Annelid,1
6.2,-30.5,Annelid,1
3.1,-31.8,Annelid,1
4.6,-31.5,Annelid,1
6.4,-28.6,Annelid,1
8.0,-28.8,Annelid,1
2.8,-32.0,Arthropod,1
5.2,-25.2,Arthropod,1
6.2,-31.5,Arthropod,1
6.4,-32.4,Arthropod,1
5.2,-29.2,Arthropod,1
8.4,-24.1,Arthropod,1
6.3,-28.0,Arthropod,1
5.4,-23.9,Arthropod,1
5.1,-36.0,Arthropod,1
6.4,-36.1,Arthropod,1
6.2,-32.3,Arthropod,1
6.4,-36.0,Arthropod,1
6.9,-34.5,Arthropod,1
7.0,-35.1,Arthropod,1
4.6,-27.4,Arthropod,1
7.1,-34.4,Arthropod,1
2.3,-33.7,Arthropod,1
4.7,-34.5,Arthropod,1
4.9,-32.2,Arthropod,1
4.2,-28.7,Arthropod,1
6.5,-29.0,Arthropod,1
4.3,-29.4,Arthropod,1
5.9,-33.4,Arthropod,1
5.5,-34.9,Arthropod,1
3.5,-34.0,Arthropod,1
1.2,-32.3,Arthropod,1
6.1,-33.5,Arthropod,1
5.1,-34.0,Arthropod,1
5.6,-32.7,Arthropod,1
4.2,-34.2,Arthropod,1
2.7,-29.2,Arthropod,1
2.7,-32.6,Arthropod,1
4.1,-26.2,Arthropod,1
4.5,-26.3,Arthropod,1
2.7,-24.4,Arthropod,1
1.8,-24.6,Arthropod,1
2.0,-24.3,Arthropod,1
2.8,-26.2,Arthropod,1
0.7,-26.9,Arthropod,1
2.7,-25.1,Arthropod,1
4.1,-32.2,Arthropod,1
3.8,-26.6,Arthropod,1
1.3,-31.9,Arthropod,1
3.3,-29.5,Arthropod,1
7.5,-22.5,Gastropod,1
3.0,-22.1,Gastropod,1
1.9,-25.4,Gastropod,1
5.6,-29.2,Gastropod,1
0.0,-25.8,Gastropod,1
2.5,-17.2,Gastropod,1
5.0,-31.3,Plant,1
6.4,-40.2,Plant,1
-3.3,-26.6,Plant,1
0.8,-25.7,Plant,1
1.3,-27.2,Plant,1
1.0,-27.1,Plant,1
3.9,-26.7,Plant,1
-10.1,-27.8,Plant,1
-7.4,-28.7,Plant,1
3.5,-26.7,Plant,1
2.8,-21.7,Plant,1
-1.8,-28.9,Plant,1
2.4,-26.7,Plant,1
4.1,-27.4,Plant,1
-3.6,-28.2,Plant,1
2.3,-30.0,Plant,1
2.1,-29.8,Plant,1
3.4,-24.8,Plant,1
-0.3,-26.4,Plant,1
2.0,-27.2,Plant,1
1.9,-29.2,Plant,1
-0.2,-27.5,Plant,1
2.1,-24.5,Plant,1
4.0,-25.3,Plant,1
4.6,-29.4,Plant,1
-4.7,-29.4,Plant,1
4.7,-27.0,Plant,1
-4.4,-27.0,Plant,1
3.8,-32.7,Plant,1
-2.1,-28.2,Plant,1
2.0,-27.9,Plant,1
0.4,-27.4,Plant,1
0.7,-28.3,Plant,1
4.6,-26.8,Plant,1
0.9,-27.2,Plant,1
4.1,-33.9,Plant,1
3.1,-35.9,Plant,1